Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,20375.0,20489.0,20287.05078125,20319.900390625,20185.103515625,4879
2020-01-02,20320.0,21279.900390625,20320.0,21232.150390625,21091.302734375,31788
2020-01-03,21200.0,21398.94921875,20950.0,21122.25,20982.130859375,19053
2020-01-06,21124.80078125,21219.94921875,20591.400390625,21064.400390625,20924.6640625,25717
2020-01-07,21097.150390625,22050.0,20951.0,21963.150390625,21817.453125,83884
2020-01-08,21849.0,22691.650390625,21710.30078125,22441.30078125,22292.431640625,68506
2020-01-09,22521.80078125,22959.849609375,22327.25,22814.55078125,22663.20703125,40252
2020-01-10,22866.5,23409.5,22723.650390625,23345.400390625,23190.533203125,41458
2020-01-13,23270.0,24263.05078125,23227.05078125,23829.19921875,23671.123046875,55253
2020-01-14,23670.0,23820.19921875,23424.75,23560.0,23403.708984375,22816
2020-01-15,23670.0,23800.0,23351.5,23728.55078125,23571.140625,24055
2020-01-16,23750.0,24100.0,23065.650390625,23290.849609375,23136.34375,59132
2020-01-17,23335.0,23646.400390625,23205.0,23325.900390625,23171.1640625,32537
2020-01-20,23333.19921875,23508.80078125,23039.94921875,23133.099609375,22979.640625,26423
2020-01-21,23160.099609375,23398.69921875,22831.55078125,22953.5,22801.232421875,29652
2020-01-22,22960.0,23299.94921875,22887.0,23016.69921875,22864.01171875,28102
2020-01-23,23016.69921875,23200.0,22911.099609375,23079.05078125,22925.951171875,15181
2020-01-24,23011.099609375,23302.0,22870.0,23134.650390625,22981.181640625,31218
2020-01-27,23099.900390625,23766.0,22960.150390625,23598.44921875,23441.904296875,35307
2020-01-28,23560.0,23990.0,23363.05078125,23442.0,23286.4921875,13422
2020-01-29,23539.099609375,23780.0,23206.099609375,23506.19921875,23350.265625,13788
2020-01-30,23427.30078125,23649.0,23279.19921875,23485.30078125,23329.505859375,18380
2020-01-31,23627.30078125,23683.0,22827.650390625,23006.900390625,22854.279296875,26041
2020-02-03,22416.099609375,23354.0,22410.05078125,23267.5,23113.1484375,19173
2020-02-04,23400.0,24659.30078125,23303.19921875,24485.400390625,24322.970703125,46295
2020-02-05,24412.05078125,25290.0,24412.05078125,24893.44921875,24728.3125,65213
2020-02-06,25048.0,25274.94921875,24750.25,25012.69921875,24846.771484375,35930
2020-02-07,25020.05078125,25355.0,24700.0,24918.150390625,24752.849609375,15201
2020-02-10,25000.0,25149.25,24820.5,24961.650390625,24796.060546875,33336
2020-02-11,25050.0,25240.44921875,24694.30078125,24813.44921875,24648.84375,9352
2020-02-12,24981.0,25146.0,24441.0,24689.94921875,24526.162109375,15946
2020-02-13,24700.0,24893.19921875,24456.30078125,24616.099609375,24452.802734375,15155
2020-02-14,24750.0,24913.05078125,24178.650390625,24433.599609375,24271.513671875,44419
2020-02-17,24320.0,24445.5,23955.0,24028.05078125,23868.654296875,14630
2020-02-18,24000.0,24000.0,23300.75,23777.25,23619.517578125,39818
2020-02-19,24850.0,25199.900390625,24316.80078125,24533.25,24370.50390625,156489
2020-02-20,24400.0,24791.650390625,24270.650390625,24407.400390625,24245.48828125,32057
2020-02-24,24100.0,24576.099609375,23684.05078125,23831.599609375,23780.68359375,29338
2020-02-25,23831.599609375,23999.0,23478.05078125,23572.05078125,23521.6875,38362
2020-02-26,23488.849609375,23597.30078125,23153.099609375,23465.150390625,23415.015625,34970
2020-02-27,23549.0,23927.30078125,23136.80078125,23812.55078125,23761.673828125,80008
2020-02-28,23400.0,23729.0,22463.94921875,22670.94921875,22622.51171875,91009
2020-03-02,22810.0,23427.94921875,22800.349609375,23042.0,22992.76953125,58063
2020-03-03,23299.94921875,23844.94921875,23050.0,23593.150390625,23542.7421875,28737
2020-03-04,23799.0,23896.5,22801.0,23256.0,23206.3125,44423
2020-03-05,23283.0,23581.30078125,23001.0,23066.19921875,23016.91796875,43550
2020-03-06,22799.900390625,23300.0,22502.0,23110.44921875,23061.072265625,34236
2020-03-09,23000.5,23000.94921875,21712.0,21860.150390625,21813.4453125,62959
2020-03-11,21780.0,22303.94921875,21578.19921875,21894.900390625,21848.12109375,50666
2020-03-12,21006.150390625,21540.0,20128.150390625,20273.5,20230.185546875,81474
2020-03-13,19100.5,21613.0,18250.5,21308.19921875,21262.673828125,65294
2020-03-16,20405.0,21388.0,18550.0,20158.05078125,20114.982421875,124718
2020-03-17,19905.05078125,20796.0,19350.0,20005.5,19962.7578125,61210
2020-03-18,20299.0,20600.0,18100.0,19293.94921875,19252.7265625,447921
2020-03-19,17990.0,19458.0,16399.900390625,17731.44921875,17693.56640625,130151
2020-03-20,17385.0,19186.30078125,17026.75,18903.650390625,18863.26171875,109690
2020-03-23,17113.0,17579.94921875,16068.150390625,16959.400390625,16923.166015625,64085
2020-03-24,17400.0,18180.05078125,16380.4501953125,16980.0,16943.72265625,73476
2020-03-25,16800.0,17947.349609375,16551.44921875,17438.25,17400.9921875,43063
2020-03-26,17450.0,18050.0,17107.599609375,17554.05078125,17516.546875,68024
2020-03-27,17800.0,18569.599609375,16836.05078125,17666.25,17628.505859375,56733
2020-03-30,17000.0,17600.0,16100.650390625,16935.44921875,16899.265625,61908
2020-03-31,17274.150390625,17716.900390625,16917.0,17546.349609375,17508.861328125,51027
2020-04-01,17500.0,17546.30078125,16500.0,16549.650390625,16514.291015625,48939
2020-04-03,16661.19921875,16698.44921875,15410.0,15783.7998046875,15750.0771484375,77720
2020-04-07,16090.0,16850.0,15882.150390625,16634.55078125,16599.009765625,92287
2020-04-08,16351.150390625,17031.0,15918.7998046875,16063.9501953125,16029.62890625,122750
2020-04-09,16208.0,17010.0,16135.0,16935.30078125,16899.1171875,92983
2020-04-13,16900.0,17801.30078125,16222.2998046875,17301.099609375,17264.134765625,86675
2020-04-15,17389.05078125,18547.19921875,17368.0,18138.55078125,18099.796875,125808
2020-04-16,18050.19921875,19348.94921875,17551.25,18928.900390625,18888.458984375,112627
2020-04-17,19400.0,19731.69921875,18785.400390625,18946.75,18906.26953125,74780
2020-04-20,19025.0,19338.94921875,18931.349609375,18996.900390625,18956.3125,48069
2020-04-21,18900.0,19000.0,18237.19921875,18828.44921875,18788.22265625,43173
2020-04-22,18838.44921875,19620.0,18611.94921875,19217.150390625,19176.091796875,70880
2020-04-23,19050.0,19175.0,18601.05078125,18707.75,18667.78125,41912
2020-04-24,18739.0,18927.30078125,18382.55078125,18587.44921875,18547.736328125,34410
2020-04-27,18655.0,19200.0,18655.0,19021.849609375,18981.208984375,37871
2020-04-28,19080.0,19394.94921875,18800.05078125,18865.900390625,18825.59375,29420
2020-04-29,18999.0,19250.0,18950.349609375,19171.44921875,19130.48828125,25467
2020-04-30,19300.0,19890.0,19118.44921875,19767.900390625,19725.666015625,53649
2020-05-04,19174.0,19304.650390625,18540.0,18625.0,18585.20703125,35572
2020-05-05,18675.5,18899.849609375,18250.0,18512.0,18472.44921875,43081
2020-05-06,18624.94921875,18930.0,18523.55078125,18741.900390625,18701.857421875,31793
2020-05-07,18741.900390625,18884.19921875,18041.94921875,18432.400390625,18393.01953125,44718
2020-05-08,18680.0,18879.44921875,18450.099609375,18732.75,18692.7265625,37689
2020-05-11,19099.0,19299.0,18812.75,18914.900390625,18874.48828125,86212
2020-05-12,18845.25,19232.0,18416.5,19127.19921875,19086.333984375,45807
2020-05-13,19534.94921875,20309.94921875,19442.44921875,19763.25,19721.025390625,97463
2020-05-14,19700.0,19928.849609375,19165.099609375,19310.80078125,19269.54296875,76779
2020-05-15,19509.900390625,19563.55078125,18811.5,19180.5,19139.51953125,52718
2020-05-18,19200.0,19239.44921875,18000.0,18152.69921875,18113.916015625,66740
2020-05-19,18300.0,18820.0,18075.0,18340.75,18301.564453125,68436
2020-05-20,18351.05078125,20150.44921875,18351.05078125,19411.650390625,19370.177734375,95883
2020-05-21,19156.0,19349.599609375,18750.0,19251.150390625,19210.01953125,83398
2020-05-22,19019.0,20079.94921875,18803.19921875,19910.25,19867.7109375,97537
2020-05-26,19810.099609375,20759.94921875,19700.0,20667.30078125,20623.14453125,115382
2020-05-27,20702.75,20900.0,20300.0,20477.55078125,20433.80078125,81015
2020-05-28,20649.0,21163.349609375,20260.80078125,20808.900390625,20764.44140625,77639
2020-05-29,20850.0,21049.0,20608.900390625,20857.30078125,20812.73828125,76672
2020-06-01,20857.30078125,21464.69921875,20855.5,21069.349609375,21024.333984375,74696
